employment_matrix,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",education_needed,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
"  Recreation and fitness studies teachers, postsecondary",25-1193,16.2,16.7,0.6,3.4,"75,770",Doctoral or professional degree,4.0,3.5,3.2,3.6,3.2,3.4,1.4,3.7,3.7,2.5,1.3,1.6,3.8,2.9,2.7,3.8,4.0
"  Career/technical education teachers, postsecondary",25-1194,121.8,121.9,0.1,0.1,"62,060",Bachelor's degree,4.2,3.3,3.0,3.4,3.1,3.6,2.6,3.7,3.7,2.6,2.5,2.2,3.5,3.0,2.5,3.8,3.8
"  Postsecondary teachers, all other[2]",25-1199,202.5,209.0,6.5,3.2,"79,870",Doctoral or professional degree,4.2,3.6,3.3,3.6,2.9,3.4,1.8,3.6,3.5,2.8,1.5,1.5,3.7,2.7,2.4,4.0,4.1
"  Preschool teachers, except special education",25-2011,528.5,551.8,23.3,4.4,"37,130",Associate's degree,4.0,2.1,3.4,2.9,2.9,3.4,2.0,4.1,3.2,2.2,1.3,2.5,3.3,2.5,1.4,3.5,3.2
"  Kindergarten teachers, except special education",25-2012,122.7,121.8,-0.8,-0.7,"62,690",Bachelor's degree,4.2,3.3,3.6,3.2,3.2,3.3,2.0,4.1,3.5,2.9,1.2,2.3,3.7,2.6,1.7,3.7,3.6
"  Elementary school teachers, except special education",25-2021,"1,441.0","1,430.4",-10.7,-0.7,"63,680",Bachelor's degree,4.4,3.4,3.5,3.5,3.3,3.5,1.8,4.2,3.7,3.0,1.2,2.0,3.7,2.7,1.8,3.9,3.8
"  Middle school teachers, except special and career/technical education",25-2022,640.0,635.3,-4.7,-0.7,"64,290",Bachelor's degree,4.3,3.5,3.5,3.3,3.5,3.5,1.6,4.0,3.8,3.0,1.3,1.5,3.8,2.7,2.2,3.9,3.9
"  Career/technical education teachers, middle school",25-2023,12.2,12.1,-0.1,-0.9,"63,860",Bachelor's degree,4.2,3.6,3.3,3.5,3.3,3.5,2.3,3.9,3.7,2.7,1.8,2.0,3.7,2.9,2.0,3.8,3.9
"  Secondary school teachers, except special and career/technical education",25-2031,"1,071.4","1,064.5",-6.9,-0.6,"65,220",Bachelor's degree,4.3,3.6,3.6,3.4,3.3,3.4,1.6,3.9,3.4,2.9,1.3,1.5,3.8,2.9,2.1,4.0,3.9
"  Career/technical education teachers, secondary school",25-2032,89.6,88.9,-0.7,-0.8,"65,130",Bachelor's degree,4.3,3.6,3.3,3.3,3.6,3.5,2.5,4.0,3.9,3.0,2.0,2.2,3.8,3.2,1.9,4.0,3.9
"  Special education teachers, preschool",25-2051,25.7,26.1,0.4,1.6,"65,270",Bachelor's degree,4.3,3.6,3.0,3.4,2.8,3.3,2.1,4.2,3.4,2.3,1.3,2.3,3.6,2.4,1.6,3.5,3.8
"  Special education teachers, kindergarten and elementary school[2]",25-2052,212.7,211.2,-1.6,-0.7,"64,910",Bachelor's degree,4.2,3.7,3.3,3.4,3.5,3.5,1.6,4.2,3.7,3.1,1.3,1.9,3.7,3.0,2.1,3.8,4.0
"  Special education teachers, middle school",25-2057,88.6,87.8,-0.8,-0.9,"66,600",Bachelor's degree,4.5,3.6,3.4,3.5,3.5,3.7,1.5,4.3,3.7,3.0,1.2,1.7,3.8,2.4,1.9,3.8,3.9
"  Special education teachers, secondary school",25-2058,159.5,158.6,-0.9,-0.6,"66,620",Bachelor's degree,4.2,3.7,3.3,3.4,3.5,3.5,1.6,4.2,3.7,3.1,1.3,1.9,3.7,3.0,2.1,3.8,4.0
"  Special education teachers, all other[2]",25-2059,45.1,46.0,1.0,2.1,"67,190",Bachelor's degree,4.3,3.7,3.3,3.4,3.4,3.5,1.6,4.2,3.7,3.0,1.3,1.9,3.7,2.8,2.1,3.8,4.0
"  Adult basic education, adult secondary education, and english as a second language instructors",25-3011,41.7,36.4,-5.3,-12.7,"60,560",Bachelor's degree,3.9,3.1,3.2,3.0,2.8,3.3,1.5,3.6,3.1,2.8,1.2,1.3,3.5,2.2,1.5,3.6,3.9
  Self-enrichment teachers,25-3021,370.1,382.8,12.7,3.4,"45,330",High school diploma or equivalent,4.0,2.9,3.3,2.9,2.8,3.1,2.1,3.7,3.4,2.1,1.4,1.8,3.4,2.2,1.5,3.4,3.3
"  Substitute teachers, short-term[2]",25-3031,473.3,489.2,15.9,3.4,"37,380",Bachelor's degree,4.1,3.3,3.1,3.1,3.2,3.1,1.6,4.1,3.2,3.0,1.2,1.2,3.3,2.3,2.4,3.6,4.0
  Tutors,25-3041,195.1,196.4,1.3,0.7,"39,580","Some college, no degree",4.1,3.3,3.1,3.1,3.2,3.1,1.6,4.1,3.2,3.0,1.2,1.2,3.3,2.3,2.4,3.6,4.0
"  Teachers and instructors, all other[2]",25-3099,143.5,145.5,1.9,1.4,"64,390",Bachelor's degree,4.0,3.1,3.1,3.0,3.1,3.1,1.8,3.9,3.3,2.7,1.2,1.4,3.4,2.3,2.1,3.5,3.7
  Archivists,25-4011,8.8,9.5,0.7,8.0,"59,910",Master's degree,3.5,3.8,2.8,3.3,3.2,3.6,1.9,3.0,3.3,2.1,1.3,2.0,3.3,3.0,1.7,3.3,4.0
  Curators,25-4012,14.2,16.0,1.7,12.2,"61,750",Master's degree,3.8,3.6,3.9,3.6,3.1,3.5,1.9,3.2,3.4,2.7,1.5,1.9,3.8,3.4,1.6,3.7,3.9
  Museum technicians and conservators,25-4013,14.4,16.0,1.6,10.7,"48,670",Bachelor's degree,3.5,3.0,3.6,3.0,2.5,3.8,3.0,2.9,2.8,2.3,2.0,2.4,3.5,2.5,2.4,3.3,3.3
  Librarians and media collections specialists,25-4022,142.2,146.4,4.2,2.9,"64,370",Master's degree,4.0,3.9,3.1,3.1,3.5,3.2,2.2,3.7,3.1,2.2,1.3,1.8,3.3,3.1,1.3,3.7,3.9
  Library technicians,25-4031,81.5,77.0,-4.6,-5.6,"39,310",Postsecondary nondegree award,3.8,3.5,2.6,2.7,3.2,3.3,2.5,3.4,2.5,2.2,1.4,2.2,3.1,2.6,1.3,3.1,3.1
  Farm and home management educators,25-9021,9.8,9.7,-0.2,-1.7,"59,770",Master's degree,4.0,3.5,3.1,3.6,3.5,3.2,2.0,3.7,3.5,3.0,1.7,1.9,3.8,3.4,2.7,3.9,4.0
  Instructional coordinators,25-9031,225.2,229.3,4.1,1.8,"74,620",Master's degree,4.1,3.7,3.4,3.6,3.1,3.1,1.5,3.9,3.9,3.1,1.3,1.4,3.7,3.3,1.5,4.0,4.1
"  Teaching assistants, postsecondary",25-9044,184.6,192.1,7.4,4.0,"43,750",Bachelor's degree,3.8,3.6,3.1,2.9,2.4,3.4,1.7,3.5,3.1,2.5,1.3,1.3,3.1,2.3,2.1,3.6,3.7
"  Teaching assistants, except postsecondary[2]",25-9045,"1,389.2","1,381.0",-8.2,-0.6,"35,550","Some college, no degree",4.1,3.5,3.2,3.2,3.3,3.3,1.6,4.1,3.5,3.0,1.2,1.5,3.5,2.6,2.3,3.7,4.0
"  Educational instruction and library workers, all other[2]",25-9099,127.2,129.7,2.5,2.0,"49,800",Bachelor's degree,4.1,3.5,3.2,3.3,3.2,3.3,1.6,4.0,3.5,3.0,1.2,1.5,3.5,2.7,2.2,3.7,3.9
  Art directors,27-1011,126.6,133.2,6.6,5.2,"106,500",Bachelor's degree,4.0,3.6,4.4,3.5,2.6,3.3,2.4,3.4,3.2,2.3,1.3,1.2,3.7,2.8,1.2,3.7,3.6
  Craft artists,27-1012,14.3,14.6,0.3,2.2,"36,600",No formal educational credential,3.3,2.8,4.2,2.7,3.1,3.6,3.5,2.6,2.0,2.4,2.2,2.5,2.9,3.1,1.6,2.9,2.6
"  Fine artists, including painters, sculptors, and illustrators",27-1013,26.3,27.4,1.1,4.0,"59,300",Bachelor's degree,3.8,3.0,4.2,2.9,2.4,3.5,3.3,2.9,1.8,2.4,1.7,2.2,3.3,2.4,1.5,2.9,2.8
  Special effects artists and animators,27-1014,73.3,76.4,3.2,4.3,"99,060",Bachelor's degree,3.9,3.9,3.7,3.2,2.8,3.8,2.8,3.1,3.1,2.4,1.6,1.2,3.6,2.5,1.2,3.5,3.5
"  Artists and related workers, all other[2]",27-1019,13.4,13.8,0.4,3.3,"74,750",No formal educational credential,3.9,3.6,4.2,3.3,2.7,3.5,2.7,3.2,3.0,2.3,1.5,1.4,3.6,2.7,1.3,3.5,3.4
  Commercial and industrial designers,27-1021,34.0,35.1,1.1,3.1,"76,250",Bachelor's degree,3.5,3.8,3.4,3.5,2.8,3.8,2.3,3.0,2.7,3.0,1.9,1.4,3.8,2.7,2.5,3.4,3.4
  Fashion designers,27-1022,21.9,22.9,1.0,4.7,"79,290",Bachelor's degree,4.1,3.1,4.0,3.6,3.3,3.7,2.7,3.5,3.7,2.4,1.4,1.5,3.8,3.7,1.1,3.5,3.7
  Floral designers,27-1023,53.7,48.1,-5.6,-10.4,"34,690",High school diploma or equivalent,3.4,2.8,3.4,2.9,3.6,3.2,2.9,3.2,2.3,2.3,1.3,2.5,3.0,2.9,1.5,3.2,2.6
  Graphic designers,27-1024,267.2,273.8,6.6,2.5,"58,910",Bachelor's degree,4.0,3.8,4.4,3.1,2.9,3.5,2.4,3.3,3.1,2.1,1.4,1.2,3.4,2.8,1.3,3.5,3.4
  Interior designers,27-1025,92.2,95.9,3.7,4.0,"62,510",Bachelor's degree,4.0,3.7,4.3,3.5,3.5,3.8,1.5,3.6,3.7,3.0,1.5,1.4,3.6,3.3,1.6,3.6,3.7
  Merchandise displayers and window trimmers,27-1026,176.4,184.7,8.4,4.8,"36,230",High school diploma or equivalent,3.6,2.7,3.4,3.0,3.4,3.1,2.8,3.2,3.1,2.1,1.5,3.2,3.3,2.6,1.2,3.2,3.0
  Set and exhibit designers,27-1027,29.6,31.1,1.5,5.1,"59,490",Bachelor's degree,4.0,3.4,4.6,3.5,2.5,3.5,2.7,3.2,3.1,2.9,1.7,1.8,3.5,3.2,1.8,3.6,3.6
"  Designers, all other[2]",27-1029,30.4,31.3,0.9,3.0,"67,500",Bachelor's degree,3.8,3.4,4.0,3.2,3.2,3.5,2.4,3.3,3.1,2.3,1.5,1.9,3.4,2.9,1.4,3.4,3.3
  Actors,27-2011,76.0,79.5,3.5,4.5,—,"Some college, no degree",3.7,2.5,4.2,2.5,3.0,3.3,1.5,3.6,2.6,1.2,1.1,2.3,3.0,1.8,1.2,3.9,3.2
  Producers and directors,27-2012,167.9,181.5,13.5,8.0,"82,510",Bachelor's degree,4.0,3.7,3.8,3.5,3.2,3.7,2.3,3.6,3.6,2.4,1.6,1.6,4.0,3.3,1.1,4.0,3.7
  Athletes and sports competitors,27-2021,25.1,27.8,2.8,11.1,"70,280",No formal educational credential,3.9,2.7,2.7,3.1,3.2,3.5,2.7,3.4,3.4,2.4,2.0,3.5,3.5,2.7,1.8,3.5,3.0
  Coaches and scouts,27-2022,307.1,334.0,26.9,8.8,"45,910",Bachelor's degree,4.1,3.2,3.2,3.7,3.2,3.4,1.9,4.0,3.9,2.3,1.5,2.6,3.9,3.2,1.8,4.0,3.7
"  Umpires, referees, and other sports officials",27-2023,23.1,25.5,2.4,10.4,"35,820",High school diploma or equivalent,4.1,2.5,2.0,2.8,2.7,3.4,1.5,3.2,2.9,2.2,1.2,2.6,3.4,1.7,1.4,3.3,2.9
  Dancers,27-2031,15.2,16.2,1.0,6.7,—,No formal educational credential,3.6,1.7,3.7,2.4,3.1,3.5,1.7,3.2,2.5,1.7,1.1,4.1,2.8,1.7,1.3,2.9,2.6
  Choreographers,27-2032,5.4,5.7,0.3,5.3,"52,000",High school diploma or equivalent,4.1,3.0,4.6,3.2,3.0,3.3,1.6,3.7,4.2,2.0,1.1,3.8,3.6,3.1,1.5,3.7,3.4
  Music directors and composers,27-2041,50.3,51.6,1.4,2.7,"62,590",Bachelor's degree,3.8,3.3,4.3,3.2,3.1,3.5,2.4,3.4,3.5,2.1,1.3,2.0,3.6,3.0,1.2,3.6,3.4
  Musicians and singers,27-2042,169.3,172.8,3.5,2.1,—,No formal educational credential,3.6,2.2,3.7,2.8,2.6,3.6,3.0,3.3,2.6,2.1,1.4,2.2,2.9,2.1,1.2,3.2,3.0
"  Disc jockeys, except radio[2]",27-2091,21.0,22.1,1.1,5.1,—,High school diploma or equivalent,4.1,3.8,3.7,3.1,3.7,3.8,2.4,3.4,3.0,2.1,2.0,1.6,3.8,2.6,1.3,4.3,3.9
"  Entertainers and performers, sports and related workers, all other[2]",27-2099,35.7,38.3,2.6,7.3,—,No formal educational credential,3.9,3.0,3.6,3.3,3.0,3.5,2.2,3.6,3.3,2.1,1.5,2.3,3.6,2.8,1.4,3.8,3.4
  Broadcast announcers and radio disc jockeys,27-3011,26.5,25.4,-1.1,-4.0,"44,890",Bachelor's degree,4.1,3.8,3.7,3.1,3.7,3.8,2.4,3.4,3.0,2.1,2.0,1.6,3.8,2.6,1.3,4.3,3.9
"  News analysts, reporters, and journalists",27-3023,49.8,48.4,-1.4,-2.7,"57,500",Bachelor's degree,4.1,3.5,3.3,3.3,3.1,3.7,2.1,3.3,2.8,2.0,1.4,1.4,3.6,2.4,1.4,4.0,4.1
  Public relations specialists,27-3031,308.0,327.2,19.2,6.2,"66,750",Bachelor's degree,4.0,3.4,3.3,3.5,3.7,3.7,1.4,3.6,3.5,2.1,1.1,1.2,3.8,3.0,1.2,4.1,4.0
  Editors,27-3041,114.2,111.9,-2.3,-2.0,"75,020",Bachelor's degree,3.9,3.5,3.3,3.3,3.1,3.6,2.2,3.1,3.2,2.1,1.3,1.2,3.6,2.4,1.2,3.8,4.4
  Technical writers,27-3042,50.1,52.1,2.0,4.0,"80,050",Bachelor's degree,3.8,3.8,2.8,3.4,2.6,3.5,2.2,2.8,2.5,2.1,1.5,1.1,3.2,2.3,1.5,3.4,4.3
  Writers and authors,27-3043,150.7,158.4,7.7,5.1,"73,690",Bachelor's degree,3.9,3.2,3.3,2.7,3.3,3.3,1.6,3.2,3.2,1.7,1.1,1.3,3.5,2.1,1.0,3.7,4.1
  Interpreters and translators,27-3091,78.3,80.1,1.8,2.3,"57,090",Bachelor's degree,3.9,3.1,2.8,2.9,3.1,4.0,1.5,3.6,3.1,2.1,1.2,1.8,3.5,2.2,1.5,3.7,4.1
  Court reporters and simultaneous captioners,27-3092,17.5,17.9,0.3,1.8,"63,940",Postsecondary nondegree award,4.1,3.9,2.0,2.4,3.0,4.0,3.3,2.8,2.0,1.7,1.7,1.3,2.8,2.1,1.0,3.5,3.3
"  Media and communication workers, all other[2]",27-3099,27.0,29.1,2.2,8.0,"61,900",High school diploma or equivalent,4.0,3.4,3.2,3.2,3.3,3.6,1.7,3.4,3.2,2.0,1.2,1.3,3.6,2.6,1.2,3.9,4.1
  Audio and video technicians,27-4011,87.3,91.9,4.6,5.3,"51,640",Postsecondary nondegree award,4.0,3.8,3.6,3.3,3.0,3.6,3.2,3.1,3.0,2.3,2.8,2.1,3.6,2.9,1.7,3.3,3.4
  Broadcast technicians,27-4012,30.0,30.0,0.0,0.1,"57,690",Associate's degree,3.8,4.0,2.7,3.2,2.6,3.7,2.9,2.9,3.2,2.6,3.0,2.2,3.6,2.8,1.6,3.2,3.3
  Sound engineering technicians,27-4014,18.0,17.9,-0.1,-0.5,"59,430",Postsecondary nondegree award,4.1,4.0,3.8,3.0,3.1,3.8,3.2,3.4,3.3,2.3,2.8,1.7,3.7,2.8,1.6,3.5,3.4
  Lighting technicians[2],27-4015,10.8,10.5,-0.3,-3.0,"62,240",Postsecondary nondegree award,3.9,2.5,2.9,3.5,3.2,3.9,3.6,3.2,3.7,3.1,3.4,3.4,3.8,3.3,1.8,2.9,3.2
  Photographers,27-4021,151.1,156.9,5.8,3.9,"40,760",High school diploma or equivalent,4.0,3.7,3.9,3.0,3.8,3.4,2.9,3.6,3.2,2.1,2.1,2.2,3.4,3.0,1.6,3.4,3.0
"  Camera operators, television, video, and film",27-4031,38.2,38.9,0.7,1.9,"61,800",Bachelor's degree,3.7,3.6,3.3,2.8,2.9,4.0,3.2,3.3,3.0,2.2,2.6,2.4,3.3,2.4,1.3,3.3,2.9
  Film and video editors,27-4032,47.2,49.4,2.2,4.7,"66,600",Bachelor's degree,4.4,4.0,4.2,3.2,2.9,3.8,2.5,3.4,3.0,2.0,1.8,1.3,3.2,2.6,1.1,3.6,3.4
"  Media and communication equipment workers, all other[2]",27-4099,13.3,13.7,0.5,3.4,"71,340",High school diploma or equivalent,4.0,3.8,3.7,3.1,3.3,3.6,3.0,3.4,3.1,2.2,2.4,2.1,3.4,2.9,1.5,3.4,3.2
  Chiropractors,29-1011,61.2,67.3,6.1,9.9,"76,530",Doctoral or professional degree,4.1,3.5,2.8,3.5,3.5,4.0,3.0,4.1,3.5,2.4,1.6,2.8,4.1,3.0,2.9,3.4,3.9
"  Dentists, general",29-1021,141.0,147.7,6.7,4.8,"166,300",Doctoral or professional degree,4.2,3.2,2.9,3.6,4.0,4.4,4.0,4.1,3.8,2.8,2.3,2.4,4.3,3.6,3.2,3.5,3.6
  Oral and maxillofacial surgeons,29-1022,4.8,5.0,0.2,3.3,">=239,200",Doctoral or professional degree,4.5,3.3,3.1,3.9,3.9,4.4,3.8,4.1,3.9,2.9,2.2,2.4,4.3,2.9,3.5,3.6,3.8
  Orthodontists,29-1023,7.4,7.7,0.3,3.7,">=239,200",Doctoral or professional degree,4.3,3.3,3.0,3.7,3.7,3.9,3.5,4.0,3.9,2.6,1.8,1.8,4.1,3.1,3.2,3.5,3.7
  Prosthodontists,29-1024,0.7,0.7,0.0,3.5,"234,000",Doctoral or professional degree,4.2,3.3,3.3,3.5,3.8,4.3,3.4,4.1,3.9,2.3,2.4,2.2,4.1,3.1,3.4,3.5,3.4
"  Dentists, all other specialists[2]",29-1029,6.7,6.9,0.2,2.3,"227,690",Doctoral or professional degree,4.2,3.3,2.9,3.6,3.9,4.4,3.9,4.1,3.9,2.8,2.2,2.4,4.3,3.5,3.2,3.5,3.6
  Dietitians and nutritionists,29-1031,81.3,87.3,6.0,7.4,"69,680",Bachelor's degree,3.9,3.7,2.8,3.7,3.3,3.4,1.4,4.1,3.2,3.2,1.2,1.3,3.7,3.0,3.1,3.6,4.0
  Optometrists,29-1041,49.3,53.6,4.3,8.7,"131,860",Doctoral or professional degree,4.0,3.8,2.7,3.8,3.9,4.0,3.3,4.2,3.6,3.1,1.7,1.6,4.0,3.0,3.6,3.6,4.1
  Pharmacists,29-1051,337.7,355.9,18.3,5.4,"136,030",Doctoral or professional degree,4.2,3.6,2.4,3.6,3.6,4.4,2.5,3.8,3.5,3.6,1.5,2.0,4.1,3.0,3.3,3.5,4.0
  Physician assistants,29-1071,153.4,197.1,43.7,28.5,"130,020",Master's degree,4.5,3.9,2.6,3.9,3.7,4.3,2.4,4.4,3.4,3.1,1.4,2.3,4.3,2.8,3.6,3.7,4.1
  Podiatrists,29-1081,9.7,9.8,0.1,1.4,"141,650",Doctoral or professional degree,4.2,3.8,2.9,3.7,3.7,4.1,3.0,4.0,3.5,2.9,1.8,2.0,4.2,2.9,3.2,3.6,4.0
  Occupational therapists,29-1122,150.5,167.3,16.8,11.1,"96,370",Master's degree,4.3,3.4,3.3,3.7,3.3,3.5,2.5,4.4,3.3,2.2,1.5,2.5,4.0,2.9,2.5,3.6,4.0
  Physical therapists,29-1123,259.2,296.0,36.8,14.2,"99,710",Doctoral or professional degree,4.2,3.4,3.0,3.6,3.9,3.7,2.9,4.4,3.6,2.5,1.8,2.9,4.1,2.7,3.0,3.5,3.9
  Radiation therapists,29-1124,17.2,17.7,0.5,3.1,"98,300",Associate's degree,4.1,3.8,2.5,3.3,3.5,4.3,3.1,4.0,3.4,3.0,2.8,2.7,3.6,2.8,3.0,3.2,3.6
  Recreational therapists,29-1125,16.6,17.3,0.7,4.3,"57,120",Bachelor's degree,4.2,3.4,3.6,3.4,3.6,3.2,2.3,4.5,3.5,2.0,1.6,2.6,3.5,3.1,1.8,3.7,3.7
  Respiratory therapists,29-1126,133.9,151.4,17.5,13.1,"77,960",Associate's degree,4.4,3.5,2.6,3.6,3.5,4.3,3.1,4.1,3.3,2.9,2.5,2.7,3.8,2.7,3.1,3.3,3.5
  Speech-language pathologists,29-1127,180.8,214.1,33.3,18.4,"89,290",Master's degree,4.4,3.6,3.1,3.9,3.2,3.7,2.0,4.3,3.1,2.4,1.3,1.5,4.0,2.3,2.1,3.8,4.1
  Exercise physiologists,29-1128,21.5,23.7,2.2,10.4,"54,860",Bachelor's degree,3.9,3.5,2.7,3.6,3.6,3.5,2.2,4.2,3.3,2.8,1.7,2.6,3.7,2.5,2.7,3.7,4.0
"  Therapists, all other[2]",29-1129,43.2,48.3,5.1,11.8,"63,650",Bachelor's degree,4.3,3.4,3.0,3.7,3.5,3.8,2.6,4.3,3.4,2.5,1.7,2.4,4.0,2.7,2.7,3.6,3.9
  Veterinarians,29-1131,88.2,105.0,16.8,19.1,"119,100",Doctoral or professional degree,4.3,3.2,2.7,3.7,4.0,4.1,3.1,3.8,3.3,3.2,1.6,2.4,4.2,2.3,3.6,3.5,3.9
  Registered nurses,29-1141,"3,300.1","3,497.3",197.2,6.0,"86,070",Bachelor's degree,4.2,3.6,2.8,3.6,3.8,4.0,2.7,4.3,3.8,3.1,1.7,2.8,3.9,2.7,2.5,3.5,3.9
  Nurse anesthetists,29-1151,49.9,55.1,5.2,10.4,"212,650",Master's degree,4.6,3.5,2.8,3.9,3.8,4.5,3.1,4.3,3.7,3.4,2.5,2.4,4.2,3.0,4.2,3.6,3.9
  Nurse midwives,29-1161,7.2,7.7,0.5,7.1,"129,650",Master's degree,4.5,3.6,2.8,3.7,3.8,4.3,2.7,4.5,3.6,2.8,1.5,2.5,4.2,2.8,2.9,3.6,4.0
  Nurse practitioners,29-1171,292.5,427.9,135.5,46.3,"126,260",Master's degree,4.4,3.7,2.8,3.9,3.7,4.2,2.5,4.2,3.6,3.1,1.5,2.3,4.2,2.7,3.3,3.7,4.1
  Audiologists,29-1181,14.4,16.0,1.6,10.9,"87,740",Doctoral or professional degree,4.2,4.0,2.8,3.7,4.1,3.7,2.9,4.3,3.4,2.8,2.3,1.6,4.0,3.0,2.8,3.7,4.1
  Anesthesiologists,29-1211,36.1,37.6,1.5,4.0,">=239,200",Doctoral or professional degree,4.3,3.2,2.7,3.9,3.1,4.5,3.1,3.9,3.4,3.0,2.0,2.3,4.3,2.9,3.8,3.6,4.0
  Cardiologists[2],29-1212,16.4,17.2,0.8,5.0,">=239,200",Doctoral or professional degree,4.3,3.8,2.7,3.9,3.4,4.2,2.6,4.2,3.2,3.1,1.5,1.9,4.1,2.8,3.6,3.6,4.1
  Dermatologists,29-1213,13.0,13.9,0.9,7.1,">=239,200",Doctoral or professional degree,4.2,3.7,2.6,3.5,3.6,4.2,2.6,4.3,3.6,2.7,1.2,2.1,4.0,2.8,2.9,3.6,3.9
  Emergency medicine physicians[2],29-1214,37.6,39.0,1.3,3.5,">=239,200",Doctoral or professional degree,4.5,3.6,2.4,3.9,3.7,4.5,2.6,4.4,2.9,2.9,1.1,1.3,4.3,2.1,3.3,3.8,4.2
  Family medicine physicians,29-1215,120.3,126.1,5.7,4.8,"224,640",Doctoral or professional degree,4.5,3.6,2.4,3.9,3.7,4.5,2.6,4.4,2.9,2.9,1.1,1.3,4.3,2.1,3.3,3.8,4.2
  General internal medicine physicians,29-1216,73.8,76.3,2.5,3.4,"223,310",Doctoral or professional degree,4.3,3.8,2.7,3.9,3.4,4.2,2.6,4.2,3.2,3.1,1.5,1.9,4.1,2.8,3.6,3.6,4.1
  Neurologists,29-1217,10.1,10.8,0.7,6.8,">=239,200",Doctoral or professional degree,4.4,3.8,3.0,3.9,3.5,4.3,1.8,4.3,3.8,3.1,1.4,1.4,4.4,3.1,3.3,3.7,4.1
  Obstetricians and gynecologists,29-1218,21.3,22.0,0.7,3.3,">=239,200",Doctoral or professional degree,4.4,3.7,2.6,3.9,3.5,4.1,2.9,4.3,3.7,2.9,1.6,2.3,4.3,2.9,3.4,3.6,4.2
"  Pediatricians, general",29-1221,37.7,38.5,0.8,2.1,"198,690",Doctoral or professional degree,4.3,3.4,2.3,3.7,3.6,4.0,2.4,4.5,3.5,2.8,1.4,1.6,4.3,2.3,3.2,3.9,4.2
"  Physicians, pathologists",29-1222,11.8,12.5,0.6,5.5,">=239,200",Doctoral or professional degree,4.3,3.8,2.7,3.8,2.6,4.3,2.6,3.4,3.2,2.9,1.8,1.6,4.2,3.1,3.5,3.6,4.2
  Psychiatrists,29-1223,27.0,29.1,2.1,7.6,">=239,200",Doctoral or professional degree,4.3,3.4,2.9,3.9,3.6,3.9,1.4,4.5,3.4,2.7,1.2,1.5,4.2,2.4,3.1,3.7,4.1
  Radiologists,29-1224,34.3,35.6,1.2,3.6,">=239,200",Doctoral or professional degree,4.1,3.7,2.6,3.8,3.3,4.1,3.1,4.2,3.4,2.9,2.0,1.9,4.2,2.8,3.5,3.7,4.3
"  Physicians, all other[2]",29-1229,337.0,350.1,13.1,3.9,"236,000",Doctoral or professional degree,4.4,3.6,2.6,3.9,3.5,4.3,2.6,4.3,3.2,2.9,1.4,1.7,4.3,2.5,3.4,3.7,4.2
"  Ophthalmologists, except pediatric",29-1241,12.4,12.9,0.6,4.5,">=239,200",Doctoral or professional degree,4.3,3.5,2.9,3.8,3.7,4.5,3.6,4.2,3.6,3.1,2.2,2.0,4.4,2.9,3.1,3.5,4.2
"  Orthopedic surgeons, except pediatric[2]",29-1242,16.0,16.6,0.7,4.2,">=239,200",Doctoral or professional degree,4.3,3.5,2.9,3.8,3.7,4.5,3.6,4.2,3.6,3.1,2.2,2.0,4.4,2.9,3.1,3.5,4.2
  Pediatric surgeons[2],29-1243,1.3,1.3,0.0,2.0,">=239,200",Doctoral or professional degree,4.3,3.5,2.9,3.8,3.7,4.5,3.6,4.2,3.6,3.1,2.2,2.0,4.4,2.9,3.1,3.5,4.2
"  Surgeons, all other[2]",29-1249,28.4,29.6,1.2,4.3,">=239,200",Doctoral or professional degree,4.3,3.5,2.9,3.8,3.7,4.5,3.6,4.2,3.6,3.1,2.2,2.0,4.4,2.9,3.1,3.5,4.2
  Acupuncturists,29-1291,22.1,23.3,1.2,5.5,"78,220",Master's degree,3.9,3.1,2.9,3.3,3.4,3.7,2.8,4.0,2.9,2.1,1.8,2.4,3.8,2.6,2.2,3.3,3.3
  Dental hygienists,29-1292,214.1,233.7,19.6,9.2,"87,530",Associate's degree,4.1,2.9,2.5,2.9,3.5,3.8,3.5,4.1,2.9,2.1,2.1,2.5,3.5,2.6,2.1,3.0,3.2
"  Healthcare diagnosing or treating practitioners, all other[2]",29-1299,40.4,41.5,1.0,2.6,"107,990",Master's degree,4.3,3.5,2.8,3.6,3.7,4.1,2.7,4.3,3.6,3.0,1.7,2.5,4.0,2.7,2.8,3.5,3.9
  Clinical laboratory technologists and technicians,29-2010,344.2,362.5,18.2,5.3,"60,780",Bachelor's degree,4.0,3.6,2.5,3.4,3.0,4.2,3.2,3.4,3.2,3.1,2.7,2.2,3.7,2.6,3.2,3.1,3.4
  Cardiovascular technologists and technicians,29-2031,58.4,60.9,2.4,4.2,"66,170",Associate's degree,4.0,3.5,2.4,3.2,3.5,4.0,3.2,4.0,2.9,2.7,2.5,2.5,3.5,2.4,2.6,3.3,3.5
